path,type,size,current_role,called_by,duplicates_logic_with,future_action,future_path,notes
README.md,markdown,root,project entry point,users,none,MOVE,README.md,rewrite as concise package entry point
20260802_150233_underwater_stereo_detailed_report.md,markdown,root, historical scientific report,users,none,ARCHIVE,docs/archive/2026-09-depth-audit/,preserve source report
CALIBRATION_PHYSICALITY_AUDIT.md,markdown,root,calibration audit,users,none,ARCHIVE,docs/archive/2026-09-depth-audit/,conclusions consolidated into docs/validation.md
CURRENT_DEPTH_PROCESSING_REPORT_20260913.md,markdown,root,current SDK depth report,users,none,ARCHIVE,docs/archive/2026-09-depth-audit/,current facts summarized in docs/depth_pipeline.md and validation.md
DEPTH_HYPOTHESIS_FALSIFICATION.md,markdown,root,depth hypothesis audit,users,none,ARCHIVE,docs/archive/2026-09-depth-audit/,preserve historical reasoning
FINAL_UNDERWATER_DEPTH_VERDICT.md,markdown,root,current validation verdict,users,none,MOVE,docs/validation.md,becomes authoritative validation state
MINIMUM_EXPERIMENT_TO_CLOSE_DEPTH_SCALE.md,markdown,root,required physical experiment,users,none,MOVE,docs/experiments/depth_scale_validation.md,preserve minimum closure protocol
RECTIFICATION_FINDINGS.md,markdown,root,rectification audit,users,none,ARCHIVE,docs/archive/2026-09-depth-audit/,correct alpha semantics in stable docs
REFRACTIVE_MODEL_DIAGNOSTICS.md,markdown,root,refractive diagnostic report,users,none,ARCHIVE,docs/archive/2026-09-depth-audit/,label legacy diagnostics
REFRACTIVE_RIG_MODEL_AUDIT.md,markdown,root,rig refractive audit,users,none,ARCHIVE,docs/archive/2026-09-depth-audit/,preserve model limitations
UNDERWATER_DEPTH_ACCURACY_AUDIT.md,markdown,root,depth accuracy audit,users,none,ARCHIVE,docs/archive/2026-09-depth-audit/,consolidate current conclusion
*.ipynb,notebook,root,interactive showcase experiments,users,depth exporters,ARCHIVE,docs/archive/notebooks/,not part of package API; preserve
analyze_custom_sdk_center_edge.py,python,12424,diagnostic center-edge analysis,manual,depth stats exporters,MERGE,src/underwater_binocular/diagnostics/depth.py,retain configurable valid-region statistics
benchmark_tracking.py,python,20062,tracking benchmark,manual,SLAM runners,MERGE,src/underwater_binocular/tracking/zed.py,keep benchmark behavior as experiment wrapper
compare_svo_and_calibration.py,python,15450,calibration diagnostic,manual,rerun_custom_calibration.py,MERGE,src/underwater_binocular/diagnostics/calibration.py,read-only comparison
convert_colmap_for_metashape.py,python,19490,COLMAP to Metashape converter,manual,other pose converters,MERGE,src/underwater_binocular/reconstruction/metashape.py,share pose convention code
convert_orbslam3_for_metashape.py,python,14329,ORB-SLAM3 pose converter,manual,other pose converters,MERGE,src/underwater_binocular/reconstruction/metashape.py,share pose convention code
convert_pose_for_metashape.py,python,12447,pose conversion utility,manual,other pose converters,MERGE,src/underwater_binocular/reconstruction/metashape.py,share pose convention code
convert_svo2_to_video.py,python,11664,SVO image video exporter,manual,ZED IO helpers,MERGE,src/underwater_binocular/io/svo.py,route through ZedSession
convert_zed_custom_depth_to_video.py,python,23940,production custom SDK depth exporter,manual,generate_zed_custom_depth_mp4.py,MERGE,src/underwater_binocular/depth/zed_sdk.py,behavioral baseline is full custom SDK result
convert_zed_depth_to_video.py,python,15277,native SDK depth exporter,manual,ZED depth exporters,MERGE,src/underwater_binocular/depth/zed_sdk.py,explicit native diagnostic mode
debug_flat_port_refractive_model.py,python,36767,flat-port experiment,manual,refractive geometry,MERGE,experiments/refractive_model/,label legacy/double-counting-control
debug_refractive_depth_check.py,python,53006,refractive audit experiment,manual,refractive geometry,MERGE,experiments/refractive_model/,preserve experiment protocol
depth_maps_to_video.py,python,8337,depth visualization helper,manual,depth video exporters,MERGE,src/underwater_binocular/depth/visualization.py,consume DepthFrame only
